Item Code,Item Name,Division,Vertical,Brand,District
8857000108,DIVYA KUTJARISHTA - 450ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE,Chennai
8857000110,DIVYA LAKSHADI GUGGUL - 40 TAB,PHARMACY,MEDICINES,VATI & GUGGAL,Chennai
8857000123,DIVYA MUKTA PISHTI - 3GM,PHARMACY,MEDICINES,BHASMA & NPDs,Chennai
8857000134,DIVYA SHUDDH KONCH BEEJ CHURNA 100GM,PHARMACY,MEDICINES,ASAV & KWATH,Chennai
8857000142,DIVYA NIRGUNDI KWATH - 100 GM,PHARMACY,MEDICINES,ASAV & KWATH,Chennai
8857000147,DIVYA PARIJAAT KWATH -100 GM,PHARMACY,MEDICINES,ASAV & KWATH,Chennai
8857000159,DIVYA PTRANGASAVA - 450ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE,Chennai
8857000160,DIVYA TOTLA KWATH -100GM,PHARMACY,MEDICINES,ASAV & KWATH,Chennai
8857000178,DIVYA USIRASAVA - 450ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE,Chennai
8857000193,DIVYA VRIDHIVADHIKA VATI - 80 TAB,PHARMACY,MEDICINES,VATI & GUGGAL,Chennai
8857000217,DIVYA SHIVLINGI BEEJ 100 GM - T ( 30 PC),PHARMACY,MEDICINES,DIVYA PRODUCTS,Chennai
8857000218,DIVYA MAHATRIPHALADI GHRIT 200 GM (20PC),PHARMACY,MEDICINES,VATI & TABLETS,Chennai
8857000226,DIVYA PHAL GHRIT 200 GM (20 PC),PHARMACY,MEDICINES,GHRIT,Chennai
8857000243,DIVYA BRAHMI GHRIT 200 GM (20 PC) - T,PHARMACY,MEDICINES,GHIRIT,Chennai
8857000244,DIVYA DURVADI GHRIT 200 GM (20 PC) - T,PHARMACY,MEDICINES,GHIRIT,Chennai
8857000245,DIVYA JEEVANTYADI GHRIT 200 GM (20 PC)-T,PHARMACY,MEDICINES,GHIRIT,Chennai
8857000276,DIVYA SHILAJEET DROPS 30 ML - T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE,Chennai
8857000289,DIVYA PRARABDHESHTI (HAWAN SAMAGRI)400GT,PHARMACY,MEDICINES,DIVYA MEDICINE,Chennai
8857000319,DIVYA WEIGHTGO TABLET 60 N -T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE,Chennai
8857000340,DIVYA FEVOGRIT 60 TABLET-T,PHARMACY,EXCLUSIVE RETAIL,TABLET & VATI,Chennai
8857000347,DIVYA UTINIL TABLET 3U X 10N -T,PHARMACY,EXCLUSIVE RETAIL,TABLET & VATI,Chennai
8857000351,DIVYA SWASARI AVALEHA 100 G - T,PHARMACY,EXCLUSIVE RETAIL,DIVYA PRODUCTS,Chennai
8861000076,DIVYA NARI KANTI SYRUP 200 ML -T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE,Chennai
8861000079,DIVYA IMMUNOGRIT KWATH 150 G (JAR) -T,PHARMACY,MEDICINES,DIVYA PRODUCTS,Chennai
8861000081,Divya Renogrit 3 U X 20 N -T,PHARMACY,MEDICINES,DIVYA PRODUCTS,Chennai
8861000082,BALA TAILA 100 ML (100 PCS)-T,PHARMACY,MEDICINES,ASAV & KWATH,Chennai
9011000028,AASTHA GUGAL CONE DHOOP ( NEW)- 80 GM,AASTHA DIVISION,DRY DHOOP,CONE-80 GM,Chennai
9955000478,CURCUMIN GOLD 95 TABLET,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE,Chennai
9955000561,SHAKTI MINI MONGRA-2 BASMATI RICE 30 KG,FOOD,RICE/PULSES/SPICES,RICE,Chennai
9958000046,YOUVAN GOLD PLUS CAPSULE,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE,Chennai
9963000240,AASTHA PREMIUM DELUXE DHOOP - 20 N,AASTHA DIVISION,DHOOP,20 STICK-WET,Chennai
9963000242,AASTHA PREMIUM LOBAN DHOOP - 20 N,AASTHA DIVISION,DHOOP,20 STICK-WET,Chennai
9963000243,AASTHA PREMIUM MOGRA DHOOP - 20 N,AASTHA DIVISION,DHOOP,20 STICK-WET,Chennai
9963000287,AASTHA GANGAJAL -100 ML,AASTHA DIVISION,OTHERS,GANGAJAL,Chennai
9963000302,AASTHA RAJNIGANDHA DRY DHOOP STICK-200 G,AASTHA DIVISION,DRY DHOOP,DRYSTICK-JAR-200 GM,Chennai
9963000322,AASTHA GHEE BATTI - 30N,AASTHA DIVISION,POOJA SAMAGRI,GHEE- BATTI 30N,Chennai
9963000366,AASTHA MOGRA DRY DHOOP CONE - 20 GM,AASTHA DIVISION,DRY DHOOP,CONE-20 GM,Chennai
