Item Code,Item Name,Division,Vertical,Brand
8857000137,DIVYA SINGHNAD GUGGUL - 40 TAB,PHARMACY,MEDICINES,VATI & GUGGAL
8857000157,DIVYA PRAVAL PISHTI - 10GM,PHARMACY,MEDICINES,BHASMA & NPDs
8857000168,DIVYA PUSYANUG CHURNA -100GM,PHARMACY,MEDICINES,VATI & GUGGAL
8857000181,DIVYA SANGEYASAV PISHTI- 5GM,PHARMACY,MEDICINES,BHASMA & NPDs
8857000190,DIVYA VISTINDUKADI VATI - 80 TAB,PHARMACY,MEDICINES,VATI & GUGGAL
8857000199,DIVYA KAISHORE GUGGUL 80 TAB,PHARMACY,MEDICINES,VATI & GUGGAL
8857000214,DIVYA GILOY KWATH 200 GM -T (40 PC),PHARMACY,MEDICINES,DIVYA PRODUCTS
8857000279,DIVYA PSOROGRIT 3 U X 20 N - T,PHARMACY,MEDICINES,TABLET & VATI
8857000281,DIVYA GUGGUL HAVAN DHOOP250GM JAR(20PC)T,PHARMACY,MEDICINES,KWATH
8857000302,DIVYA KUTAJGHAN VATI 80 N (500 MG) - T,PHARMACY,MEDICINES,DIVYA PRODUCTS
8857000309,DIVYA SHANKHPUSHPI CHURNA 100 GM-T,PHARMACY,MEDICINES,DIVYA PRODUCTS
8857000310,DIVYA LAKSHMIVILASA RASA(NARADIYA)160N-T,PHARMACY,MEDICINES,DIVYA PRODUCTS
8857000337,ANU TAILA 20 ML (110 PCS),PHARMACY,OTHERS,DIVYA PRODUCTS
8857000343,MAHA NARAYAN TAILA 100 ML - T,PHARMACY,EXCLUSIVE RETAIL,TAILA
8861000077,DIVYA MAHAMASH TAILA 100 ML (100 PCS)-T,PHARMACY,MEDICINES,DIVYA PRODUCTS
8861000088,DIVYA MAHABHRINGRAJ TAILA 100 ML-T,PHARMACY,MEDICINES,DIVYA PRODUCTS
8861000091,DIVYA DENGUENIL VATI 80 TABLETS-T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
8861000128,CALENDAR -T,DIVYA PRAKASHAN,STATIONERY,CALENDAR
9954000434,SAUNDARYA EYE LINER PEN 1.2 ML,NON FOOD,EXCLUSIVE RETAIL,EYE LINER
9954000435,SAUNDARYA EYE LINER GEL 3 ML,NON FOOD,EXCLUSIVE RETAIL,EYE LINER
9954000454,SAUNDARYA KAJAL (DEEP BLACK) 3G-DOMESTIC,NON FOOD,PERSONAL CARE,SAUNDARYA KAJAL
9955000060,ROZANA BASMATI RICE 1 KG,FOOD,RICE/PULSES/SPICES,RICE
9955000160,COWS SKIMMED MILK POWDER 200-GM,FOOD,DAIRY DIVISION,DAIRY PRODUCTS
9955000249,BASMATI RICE 1 KG(SILVER) - (NEW),FOOD,RICE/PULSES/SPICES,RICE
9958000052,NEEM GHAN VATI 60 TAB,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
9958000055,LIVAMRIT TABLET - 60 PC,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
9958000098,GILOY GHANVATI ADVANCE 60 N,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
9963000144,AASTHA AGARBATTI LAVENDER - 150 GM,AASTHA DIVISION,AGARBATTI,AGAR-150 GM
9963000334,AASTHA RED ROSE DHOOP -20 N,AASTHA DIVISION,DHOOP,20 STICK-WET
9963000335,AASTHA MYSORE SANDAL DHOOP -20 N,AASTHA DIVISION,DHOOP,20 STICK-WET
9963000338,AASTHA ATTAR ROLLON (FAMOSV) MIX - 6 ML,AASTHA DIVISION,OTHER,ROLLON
